location;checkout;dairy;drinks;fruit;spices
dairy;0.2454290671293207;0.375550513812892;0.13892966768984386;0.11824369411450687;0.12184705725343654
drinks;0.25698187163155317;0.012983831455169036;0.5216805487506124;0.1047280744732974;0.10362567368936795
entrance;0.0;0.2875755540631296;0.15352585627938214;0.3774345198119543;0.18146406984553393
fruit;0.2765245547760389;0.1315704263356719;0.07522935779816514;0.4471667566109012;0.06950890447922288
spices;0.10677200902934537;0.13690744920993228;0.11557562076749435;0.06444695259593679;0.5762979683972912
